Feature,t-statistic,p-value
maxHBint3,10.111521697020475,6.0263941459298e-23
maxHssNH,8.851717857568447,4.055767345512411e-18
SHBint2,8.695861011433086,1.395666016774372e-17
maxHBint6,8.553814728522442,4.597551916575649e-17
AATS5s,8.095094092157638,2.2016123520508055e-15
SLogP,-7.521447195554392,1.2009008480204897e-13
MolLogP,-7.521447195554392,1.2009008480204897e-13
SHBd,7.415347555732915,2.6092666799260945e-13
CrippenLogP,-7.21699530739651,1.0476395953717344e-12
AATS0s,7.130135670335656,2.1408394952948986e-12
maxHBint2,7.098425907641969,2.4438798943677242e-12
RotBFrac,-6.907640423483162,8.732297623034604e-12
AATSC.27,6.761102207132049,2.5517971914988372e-11
AATSC0s,6.761102207132041,2.5517971914989655e-11
maxHBd,5.831550656744501,7.406475522118239e-09
nBase,-5.824878613525577,8.768708761648436e-09
BasicGroupCount,-5.722635589128431,1.5560624880403295e-08
maxHBint9,5.510576453761594,4.5461009709703355e-08
SpMax4_Bhs,5.550006171238175,4.6056496313705506e-08
fr_unbrch_alkane,-2.818189589418916,0.0049282349553660555
