,Train MSE (15 fold CV),Train MAE (15 fold CV),Train RMSE (15 fold CV),Train R2 (15 fold CV),Train PCC (15 fold CV),Train SCC (15 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.2080078509711919,0.33240818766235225,0.45607877715499096,0.5359894100323296,0.7372994260428765,0.7711050474693186,0.34041878320103575,0.41549972862722057,0.5834541826065143,0.5290542760520338,0.7544424757666032,0.8180999037922677
DecisionTreeRegressor,0.37867642857142875,0.43642857142857144,0.6153669056517654,0.15527287932697287,0.5621443363709117,0.6107142353164364,0.3295980555555556,0.4455925925925926,0.5741063103254967,0.5440240005975652,0.7633500687110613,0.7359207191314671
RandomForestRegressor,0.1638100607142855,0.2948864285714283,0.40473455586876383,0.6345830094403384,0.7966975666008334,0.8132661408340425,0.34356703121790116,0.41511851851851816,0.5861459129072736,0.5246988937563547,0.7612799686744028,0.8159876576131485
GradientBoostingRegressor,0.17396213021810003,0.30653806756632235,0.417087676895518,0.6119364230837966,0.7833201208812494,0.8085163625157807,0.33871016665997705,0.4262601826106444,0.5819881155659254,0.5314180282701456,0.7534417531979909,0.7988672350760688
AdaBoostRegressor,0.18506227334729927,0.33324275249573365,0.4301886485570014,0.5871749348127666,0.7668932982447078,0.7726714102353113,0.3584905254191542,0.41055429917994996,0.5987407831600869,0.5040532768654328,0.7433121742925841,0.8101950334464673
XGBRegressor,0.18274860954118138,0.3207227657863072,0.4274910636974548,0.5923361078293192,0.7721973017167,0.7950389758788354,0.4086302188369088,0.47075387424892845,0.6392419094809951,0.4346884962469417,0.701610461116928,0.7230482209832869
ExtraTreesRegressor,0.1483645931428573,0.28163785714285744,0.38518124713290147,0.6690377691365842,0.8185486420042809,0.8313336677518491,0.32805343787222213,0.4004596296296291,0.5727594939171433,0.5461608717956232,0.7806602480098166,0.8319495553168921
LinearRegression,0.16125496892650604,0.31334009434483073,0.4015656470946015,0.6402827445336705,0.8062500890360325,0.8078100188708459,0.22451683747943152,0.3486330243016289,0.4738320773010535,0.689396561579223,0.8332442224112709,0.8517732024650897
KNeighborsRegressor,0.1911233857142857,0.34059999999999996,0.43717660700715183,0.5736541935900941,0.7602641204904954,0.7733501290358649,0.38765935333333346,0.4249148148148147,0.6226229624205435,0.4637002309800523,0.7068482495224908,0.7641114900759819
SVR,0.20480349081036284,0.34012800219264694,0.4525521967799547,0.5431374914232628,0.7382029183061476,0.7543443972763823,0.4052181014665081,0.4491433549681967,0.636567436699764,0.4394089234515999,0.6745085988339754,0.7634678651685729
MLPRegressor,0.5906761866852062,0.6747036983934324,0.7685546087853524,-0.3176426013920748,0.6746854365852291,0.6939465485783785,0.5493166775269036,0.6779454498139412,0.7411590096105583,0.24005855980683755,0.769934243500336,0.8199781320390844
